query_id,date,doc_ids
20992,"(2018, 5, 20)","1    60212
2    62789
3    45602
4    43622
5    20704
Name: doc_id, dtype: int64"
20992,"(2018, 5, 20)","3    45602
4    43622
5    20704
Name: doc_id, dtype: int64"
20992,"(2023, 10, 31)","0    69229
1    60212
2    62789
3    45602
4    43622
5    20704
Name: doc_id, dtype: int64"
46196,"(2021, 1, 6)","6     76402
7     89356
8     66103
9     85735
10    12274
11    24011
12    77501
13    40482
Name: doc_id, dtype: int64"
46196,"(2021, 1, 6)","9     85735
10    12274
12    77501
13    40482
Name: doc_id, dtype: int64"
46196,"(2022, 12, 23)","6     76402
7     89356
8     66103
9     85735
10    12274
11    24011
12    77501
13    40482
Name: doc_id, dtype: int64"
66761,"(2023, 10, 19)","14    27214
15    44655
18    38377
19    26069
20    28217
21    79145
22    59886
Name: doc_id, dtype: int64"
66761,"(2023, 10, 19)","14    27214
20    28217
21    79145
22    59886
Name: doc_id, dtype: int64"
66761,"(2023, 2, 15)","14    27214
15    44655
16    89552
17    86202
18    38377
19    26069
20    28217
21    79145
22    59886
Name: doc_id, dtype: int64"
21919,"(2022, 12, 18)","24    29497
25    13331
26    69911
27    39931
28    33383
29    43393
30    83560
31    71487
32    62285
Name: doc_id, dtype: int64"
21919,"(2022, 12, 18)","25    13331
30    83560
31    71487
32    62285
Name: doc_id, dtype: int64"
21919,"(2023, 8, 1)","23    73586
24    29497
25    13331
26    69911
27    39931
28    33383
29    43393
30    83560
31    71487
32    62285
Name: doc_id, dtype: int64"
88669,"(2022, 11, 2)","33    76685
34    54672
36    46870
37    44778
38    25343
39    44269
40    83967
Name: doc_id, dtype: int64"
88669,"(2022, 11, 2)","33    76685
34    54672
38    25343
40    83967
Name: doc_id, dtype: int64"
88669,"(2023, 2, 23)","33    76685
34    54672
35    84841
36    46870
37    44778
38    25343
39    44269
40    83967
Name: doc_id, dtype: int64"
86274,"(2023, 10, 17)","41    73334
43    83939
44    77713
45    15803
46    35466
Name: doc_id, dtype: int64"
86274,"(2023, 10, 17)","41    73334
45    15803
46    35466
Name: doc_id, dtype: int64"
86274,"(2023, 11, 27)","41    73334
42    70500
43    83939
44    77713
45    15803
46    35466
Name: doc_id, dtype: int64"
